"","","","E","","","","E","","","","E","","","","E"
"Emersonella","saturata","","HN","Emersonella","saturata","","HN","Emersonella","saturata","","HN","Emersonella","saturata","","HN"
"Emersonella","windsori","","HN","Emersonella","windsori","","HN","Emersonella","windsori","","HN","Emersonella","windsori","","HN"
"Encarsia","","","BD","Encarsia","","","BD","Encarsia","","","BD","Encarsia","","","BD"
"Encarsia","boswelli","","BD","Encarsia","boswelli","","BD","Encarsia","boswelli","","BD","Encarsia","boswelli","","BD"
"Encarsia","dalbulae","","BD","Encarsia","dalbulae","","BD","Encarsia","dalbulae","","BD","Encarsia","dalbulae","","BD"
"Encarsia","formosa","","BD","Encarsia","formosa","","BD","Encarsia","formosa","","BD","Encarsia","formosa","","BD"
"Encarsia","inaron","","BD","Encarsia","inaron","","BD","Encarsia","inaron","","BD","Encarsia","inaron","","BD"
"Encarsia","lutea","","BD","Encarsia","lutea","","BD","Encarsia","lutea","","BD","Encarsia","lutea","","BD"
"Encarsia","luteola","","BD","Encarsia","luteola","","BD","Encarsia","luteola","","BD","Encarsia","luteola","","BD"
"Encarsia","mollicellae","","BD","Encarsia","mollicellae","","BD","Encarsia","mollicellae","","BD","Encarsia","mollicellae","","BD"
"Encarsia","porteri","","BD","Encarsia","porteri","","BD","Encarsia","porteri","","BD","Encarsia","porteri","","BD"
"Encarsia","udaipuriensis","","BD","Encarsia","udaipuriensis","","BD","Encarsia","udaipuriensis","","BD","Encarsia","udaipuriensis","","BD"
"Enoggera","","","PA","Enoggera","","","PA","Enoggera","","","PA","Enoggera","","","PA"
"Enoggera","nassaui","","PA","Enoggera","nassaui","","PA","Enoggera","nassaui","","PA","Enoggera","nassaui","","PA"
"Enoggera","reticulata","","PA","Enoggera","reticulata","","PA","Enoggera","reticulata","","PA","Enoggera","reticulata","","PA"
"Entedon","","","HN","Entedon","","","HN","Entedon","","","HN","Entedon","","","HN"
"Entedon","ergias","","HN","Entedon","ergias","","HN","Entedon","ergias","","HN","Entedon","ergias","","HN"
"Entedon","pharnus","","HN","Entedon","pharnus","","HN","Entedon","pharnus","","HN","Entedon","pharnus","","HN"
"Entedon","philiscus","","HN","Entedon","philiscus","","HN","Entedon","philiscus","","HN","Entedon","philiscus","","HN"
"Entedon","rumicis","","HN","Entedon","rumicis","","HN","Entedon","rumicis","","HN","Entedon","rumicis","","HN"
"Entedon","subfumatus","","HN","Entedon","subfumatus","","HN","Entedon","subfumatus","","HN","Entedon","subfumatus","","HN"
"Entedonomphale","","","HN","Entedonomphale","","","HN","Entedonomphale","","","HN","Entedonomphale","","","HN"
"Epipteromalus","bengalensis","","PZD","Epipteromalus","bengalensis","","PZD","Epipteromalus","bengalensis","","PZD","Epipteromalus","bengalensis","","PZD"
"Epoligosita","duliniae","","WOO","Epoligosita","duliniae","","WOO","Epoligosita","duliniae","","WOO","Epoligosita","duliniae","","WOO"
"Epoligosita","mexicana","","WOO","Epoligosita","mexicana","","WOO","Epoligosita","mexicana","","WOO","Epoligosita","mexicana","","WOO"
"Epoligosita","vera","","WOO","Epoligosita","vera","","WOO","Epoligosita","vera","","WOO","Epoligosita","vera","","WOO"
"Eretmocerus","mundus","","BG","Eretmocerus","mundus","","BG","Eretmocerus","mundus","","BG","Eretmocerus","mundus","","BG"
"Erixestus","pachyneuron","","P","Erixestus","pachyneuron","","P","Erixestus","pachyneuron","","P","Erixestus","pachyneuron","","P"
"Erixestus","winnemana","","P","Erixestus","winnemana","","P","Erixestus","winnemana","","P","Erixestus","winnemana","","P"
"Erixestus","zygogrammae","","P","Erixestus","zygogrammae","","P","Erixestus","zygogrammae","","P","Erixestus","zygogrammae","","P"
"Erythmelus","","","MY","Erythmelus","","","MY","Erythmelus","","","MY","Erythmelus","","","MY"
"Erythmelus","coviellai","","MY","Erythmelus","coviellai","","MY","Erythmelus","coviellai","","MY","Erythmelus","coviellai","","MY"
"Erythmelus","dichromocnemus","","MY","Erythmelus","dichromocnemus","","MY","Erythmelus","dichromocnemus","","MY","Erythmelus","dichromocnemus","","MY"
"Erythmelus","flavovarius","","MY","Erythmelus","flavovarius","","MY","Erythmelus","flavovarius","","MY","Erythmelus","flavovarius","","MY"
"Erythmelus","helopeltidis","","MY","Erythmelus","helopeltidis","","MY","Erythmelus","helopeltidis","","MY","Erythmelus","helopeltidis","","MY"
"Erythmelus","klopomor","","MY","Erythmelus","klopomor","","MY","Erythmelus","klopomor","","MY","Erythmelus","klopomor","","MY"
"Erythmelus","miridiphagus","","MY","Erythmelus","miridiphagus","","MY","Erythmelus","miridiphagus","","MY","Erythmelus","miridiphagus","","MY"
"Erythmelus","panis","","MY","Erythmelus","panis","","MY","Erythmelus","panis","","MY","Erythmelus","panis","","MY"
"Erythmelus","picinus","","MY","Erythmelus","picinus","","MY","Erythmelus","picinus","","MY","Erythmelus","picinus","","MY"
"Erythmelus","psallidis","","MY","Erythmelus","psallidis","","MY","Erythmelus","psallidis","","MY","Erythmelus","psallidis","","MY"
"Erythmelus","rex","","MY","Erythmelus","rex","","MY","Erythmelus","rex","","MY","Erythmelus","rex","","MY"
"Erythmelus","teleonemiae","","MY","Erythmelus","teleonemiae","","MY","Erythmelus","teleonemiae","","MY","Erythmelus","teleonemiae","","MY"
"Erythmelus","tingitiphagus","","MY","Erythmelus","tingitiphagus","","MY","Erythmelus","tingitiphagus","","MY","Erythmelus","tingitiphagus","","MY"
"Erythmelus","toreador","","MY","Erythmelus","toreador","","MY","Erythmelus","toreador","","MY","Erythmelus","toreador","","MY"
"Erythmelus","verticillatus","","MY","Erythmelus","verticillatus","","MY","Erythmelus","verticillatus","","MY","Erythmelus","verticillatus","","MY"
"Erythmelus","vladimir","","MY","Erythmelus","vladimir","","MY","Erythmelus","vladimir","","MY","Erythmelus","vladimir","","MY"
"Eteroligosita","","","WOO","Eteroligosita","","","WOO","Eteroligosita","","","WOO","Eteroligosita","","","WOO"
"Euderus","alcidodes","","HD","Euderus","alcidodes","","HD","Euderus","alcidodes","","HD","Euderus","alcidodes","","HD"
"Euderus","caudatus","","HD","Euderus","caudatus","","HD","Euderus","caudatus","","HD","Euderus","caudatus","","HD"
"Eulophomorpha","clubiona","","HE","Eulophomorpha","clubiona","","HE","Eulophomorpha","clubiona","","HE","Eulophomorpha","clubiona","","HE"
"Eulophomorpha","flavicornis","","HE","Eulophomorpha","flavicornis","","HE","Eulophomorpha","flavicornis","","HE","Eulophomorpha","flavicornis","","HE"
"Euneura","lachni","","PZD","Euneura","lachni","","PZD","Euneura","lachni","","PZD","Euneura","lachni","","PZD"
"Eupelmus","","","IE","Eupelmus","","","IE","Eupelmus","","","IE","Eupelmus","","","IE"
"Eupelmus","antipoda","","IE","Eupelmus","antipoda","","IE","Eupelmus","antipoda","","IE","Eupelmus","antipoda","","IE"
"Eupelmus","chrysosinamorus","","IE","Eupelmus","chrysosinamorus","","IE","Eupelmus","chrysosinamorus","","IE","Eupelmus","chrysosinamorus","","IE"
"Eupelmus","cicadae","","IE","Eupelmus","cicadae","","IE","Eupelmus","cicadae","","IE","Eupelmus","cicadae","","IE"
"Eupelmus","pulchriceps","","IE","Eupelmus","pulchriceps","","IE","Eupelmus","pulchriceps","","IE","Eupelmus","pulchriceps","","IE"
"Eupelmus","seculatus","","IE","Eupelmus","seculatus","","IE","Eupelmus","seculatus","","IE","Eupelmus","seculatus","","IE"
"Eupelmus","terminaliae","","IE","Eupelmus","terminaliae","","IE","Eupelmus","terminaliae","","IE","Eupelmus","terminaliae","","IE"
"Eupelmus","tibicinis","","IE","Eupelmus","tibicinis","","IE","Eupelmus","tibicinis","","IE","Eupelmus","tibicinis","","IE"
"Eupelmus","urozonus","","IE","Eupelmus","urozonus","","IE","Eupelmus","urozonus","","IE","Eupelmus","urozonus","","IE"
"Eupelmus","vesicularis","","IE","Eupelmus","vesicularis","","IE","Eupelmus","vesicularis","","IE","Eupelmus","vesicularis","","IE"
"Eurytoma","","","JE","Eurytoma","","","JE","Eurytoma","","","JE","Eurytoma","","","JE"
"Eurytoma","arachnophaga","","JE","Eurytoma","arachnophaga","","JE","Eurytoma","arachnophaga","","JE","Eurytoma","arachnophaga","","JE"
"Eurytoma","lobopterae","","JE","Eurytoma","lobopterae","","JE","Eurytoma","lobopterae","","JE","Eurytoma","lobopterae","","JE"
"Eurytoma","oophaga","","JE","Eurytoma","oophaga","","JE","Eurytoma","oophaga","","JE","Eurytoma","oophaga","","JE"
"Eutreptopelma","leucocheilum","","IE","Eutreptopelma","leucocheilum","","IE","Eutreptopelma","leucocheilum","","IE","Eutreptopelma","leucocheilum","","IE"
"Eutrichosomella","blattophaga","","BA","Eutrichosomella","blattophaga","","BA","Eutrichosomella","blattophaga","","BA","Eutrichosomella","blattophaga","","BA"
"Eutrichosomella","ibra","","BA","Eutrichosomella","ibra","","BA","Eutrichosomella","ibra","","BA","Eutrichosomella","ibra","","BA"
"Eutrichosomella","veenakumariae","","BA","Eutrichosomella","veenakumariae","","BA","Eutrichosomella","veenakumariae","","BA","Eutrichosomella","veenakumariae","","BA"
"Foersterella","erdoesi","","UT","Foersterella","erdoesi","","UT","Foersterella","erdoesi","","UT","Foersterella","erdoesi","","UT"
"Foersterella","reptans","","UT","Foersterella","reptans","","UT","Foersterella","reptans","","UT","Foersterella","reptans","","UT"
"Foersterella","seyhanensis","","UT","Foersterella","seyhanensis","","UT","Foersterella","seyhanensis","","UT","Foersterella","seyhanensis","","UT"
"Gahanopsis","pusilus","","MY","Gahanopsis","pusilus","","MY","Gahanopsis","pusilus","","MY","Gahanopsis","pusilus","","MY"
"Gastrogonatocerus","anomocerus","","MY","Gastrogonatocerus","anomocerus","","MY","Gastrogonatocerus","anomocerus","","MY","Gastrogonatocerus","anomocerus","","MY"
"Gonatocerus","","","MY","Gonatocerus","","","MY","Gonatocerus","","","MY","Gonatocerus","","","MY"
"Gonatocerus","californicus","","MY","Gonatocerus","californicus","","MY","Gonatocerus","californicus","","MY","Gonatocerus","californicus","","MY"
"Gonatocerus","cincticipitis","","MY","Gonatocerus","cincticipitis","","MY","Gonatocerus","cincticipitis","","MY","Gonatocerus","cincticipitis","","MY"
"Gonatocerus","koebelei","","MY","Gonatocerus","koebelei","","MY","Gonatocerus","koebelei","","MY","Gonatocerus","koebelei","","MY"
"Gonatocerus","longicornis","","MY","Gonatocerus","longicornis","","MY","Gonatocerus","longicornis","","MY","Gonatocerus","longicornis","","MY"
"Gonatocerus","mandyanus","","MY","Gonatocerus","mandyanus","","MY","Gonatocerus","mandyanus","","MY","Gonatocerus","mandyanus","","MY"
"Gonatocerus","mexicanus","","MY","Gonatocerus","mexicanus","","MY","Gonatocerus","mexicanus","","MY","Gonatocerus","mexicanus","","MY"
"Gonatocerus","rivalis","","MY","Gonatocerus","rivalis","","MY","Gonatocerus","rivalis","","MY","Gonatocerus","rivalis","","MY"
"Gonatocerus","utkalensis","","MY","Gonatocerus","utkalensis","","MY","Gonatocerus","utkalensis","","MY","Gonatocerus","utkalensis","","MY"
"Haeckeliania","sperata","","WTT","Haeckeliania","sperata","","WTT","Haeckeliania","sperata","","WTT","Haeckeliania","sperata","","WTT"
"Halticoptera","rosae","","PW","Halticoptera","rosae","","PW","Halticoptera","rosae","","PW","Halticoptera","rosae","","PW"
"Himopolynema","","","MY","Himopolynema","","","MY","Himopolynema","","","MY","Himopolynema","","","MY"
"Himopolynema","hishimonus","","MY","Himopolynema","hishimonus","","MY","Himopolynema","hishimonus","","MY","Himopolynema","hishimonus","","MY"
"Hispidophila","brontispae","","WTT","Hispidophila","brontispae","","WTT","Hispidophila","brontispae","","WTT","Hispidophila","brontispae","","WTT"
"Hispidophila","sophoniae","","WTT","Hispidophila","sophoniae","","WTT","Hispidophila","sophoniae","","WTT","Hispidophila","sophoniae","","WTT"
"Holcotetrastichus","rhosaces","","HT","Holcotetrastichus","rhosaces","","HT","Holcotetrastichus","rhosaces","","HT","Holcotetrastichus","rhosaces","","HT"
"Homalotylus","hemipterinus","","EE","Homalotylus","hemipterinus","","EE","Homalotylus","hemipterinus","","EE","Homalotylus","hemipterinus","","EE"
"Horismenus","","","HN","Horismenus","","","HN","Horismenus","","","HN","Horismenus","","","HN"
"Horismenus","alnus","","HN","Horismenus","alnus","","HN","Horismenus","alnus","","HN","Horismenus","alnus","","HN"
"Horismenus","bennetti","","HN","Horismenus","bennetti","","HN","Horismenus","bennetti","","HN","Horismenus","bennetti","","HN"
"Horismenus","carolinensis","","HN","Horismenus","carolinensis","","HN","Horismenus","carolinensis","","HN","Horismenus","carolinensis","","HN"
"Horismenus","chrysourus","","HN","Horismenus","chrysourus","","HN","Horismenus","chrysourus","","HN","Horismenus","chrysourus","","HN"
"Horismenus","coelomerae","","HN","Horismenus","coelomerae","","HN","Horismenus","coelomerae","","HN","Horismenus","coelomerae","","HN"
"Horismenus","cupreus","","HN","Horismenus","cupreus","","HN","Horismenus","cupreus","","HN","Horismenus","cupreus","","HN"
"Horismenus","doratus","","HN","Horismenus","doratus","","HN","Horismenus","doratus","","HN","Horismenus","doratus","","HN"
"Horismenus","latrodecti","","HN","Horismenus","latrodecti","","HN","Horismenus","latrodecti","","HN","Horismenus","latrodecti","","HN"
"Horismenus","liturgusae","","HN","Horismenus","liturgusae","","HN","Horismenus","liturgusae","","HN","Horismenus","liturgusae","","HN"
"Horismenus","macrocercus","","HN","Horismenus","macrocercus","","HN","Horismenus","macrocercus","","HN","Horismenus","macrocercus","","HN"
"Horismenus","naevus","","HN","Horismenus","naevus","","HN","Horismenus","naevus","","HN","Horismenus","naevus","","HN"
"Horismenus","nitens","","HN","Horismenus","nitens","","HN","Horismenus","nitens","","HN","Horismenus","nitens","","HN"
"Horismenus","oviesus","","HN","Horismenus","oviesus","","HN","Horismenus","oviesus","","HN","Horismenus","oviesus","","HN"
"Horismenus","pilicornis","","HN","Horismenus","pilicornis","","HN","Horismenus","pilicornis","","HN","Horismenus","pilicornis","","HN"
"Horismenus","puttleri","","HN","Horismenus","puttleri","","HN","Horismenus","puttleri","","HN","Horismenus","puttleri","","HN"
"Horismenus","taxus","","HN","Horismenus","taxus","","HN","Horismenus","taxus","","HN","Horismenus","taxus","","HN"
"Hydrophylita","emporos","","WTT","Hydrophylita","emporos","","WTT","Hydrophylita","emporos","","WTT","Hydrophylita","emporos","","WTT"
"Hydrophylita","neusae","","WTT","Hydrophylita","neusae","","WTT","Hydrophylita","neusae","","WTT","Hydrophylita","neusae","","WTT"
"Isodromus","flaviceps","","EE","Isodromus","flaviceps","","EE","Isodromus","flaviceps","","EE","Isodromus","flaviceps","","EE"
"Isosomodes","giganteus","","JE","Isosomodes","giganteus","","JE","Isosomodes","giganteus","","JE","Isosomodes","giganteus","","JE"
"Isosomodes","monteria","","JE","Isosomodes","monteria","","JE","Isosomodes","monteria","","JE","Isosomodes","monteria","","JE"
"Ittys","","","WOP","Ittys","","","WOP","Ittys","","","WOP","Ittys","","","WOP"
"Ittys","californica","","WOP","Ittys","californica","","WOP","Ittys","californica","","WOP","Ittys","californica","","WOP"
"Ittys","ceresarum","","WOP","Ittys","ceresarum","","WOP","Ittys","ceresarum","","WOP","Ittys","ceresarum","","WOP"
"Ittys","multiciliatus","","WOP","Ittys","multiciliatus","","WOP","Ittys","multiciliatus","","WOP","Ittys","multiciliatus","","WOP"
"Ittysella","lagunera","","WOP","Ittysella","lagunera","","WOP","Ittysella","lagunera","","WOP","Ittysella","lagunera","","WOP"
"Kalopolynema","ema","","MY","Kalopolynema","ema","","MY","Kalopolynema","ema","","MY","Kalopolynema","ema","","MY"
"Klabonosa","austini","","PZD","Klabonosa","austini","","PZD","Klabonosa","austini","","PZD","Klabonosa","austini","","PZD"
"Klabonosa","indica","","PZD","Klabonosa","indica","","PZD","Klabonosa","indica","","PZD","Klabonosa","indica","","PZD"
"Klabonosa","watshami","","PZD","Klabonosa","watshami","","PZD","Klabonosa","watshami","","PZD","Klabonosa","watshami","","PZD"
"Lathromeris","cecidomyiiae","","WOC","Lathromeris","cecidomyiiae","","WOC","Lathromeris","cecidomyiiae","","WOC","Lathromeris","cecidomyiiae","","WOC"
"Lathromeris","ovicida","","WOC","Lathromeris","ovicida","","WOC","Lathromeris","ovicida","","WOC","Lathromeris","ovicida","","WOC"
"Lathromeris","scutellaris","","WOC","Lathromeris","scutellaris","","WOC","Lathromeris","scutellaris","","WOC","Lathromeris","scutellaris","","WOC"
"Lathromeroidea","gerriphaga","","WOC","Lathromeroidea","gerriphaga","","WOC","Lathromeroidea","gerriphaga","","WOC","Lathromeroidea","gerriphaga","","WOC"
"Lathromeroidea","silvarum","","WOC","Lathromeroidea","silvarum","","WOC","Lathromeroidea","silvarum","","WOC","Lathromeroidea","silvarum","","WOC"
"Lathromeromina","tingiphaga","","WOC","Lathromeromina","tingiphaga","","WOC","Lathromeromina","tingiphaga","","WOC","Lathromeromina","tingiphaga","","WOC"
"Lathromeromyia","","","WOC","Lathromeromyia","","","WOC","Lathromeromyia","","","WOC","Lathromeromyia","","","WOC"
"Lathromeromyia","baltazarae","","WOC","Lathromeromyia","baltazarae","","WOC","Lathromeromyia","baltazarae","","WOC","Lathromeromyia","baltazarae","","WOC"
"Lathromeromyia","perminuta","","WOC","Lathromeromyia","perminuta","","WOC","Lathromeromyia","perminuta","","WOC","Lathromeromyia","perminuta","","WOC"
"Leefmansia","bicolor","","EE","Leefmansia","bicolor","","EE","Leefmansia","bicolor","","EE","Leefmansia","bicolor","","EE"
"Leurocerus","hongkongensis","","EE","Leurocerus","hongkongensis","","EE","Leurocerus","hongkongensis","","EE","Leurocerus","hongkongensis","","EE"
"Limtaduna","zeyai","","EE","Limtaduna","zeyai","","EE","Limtaduna","zeyai","","EE","Limtaduna","zeyai","","EE"
"Litus","","","MY","Litus","","","MY","Litus","","","MY","Litus","","","MY"
"Litus","cynipseus","","MY","Litus","cynipseus","","MY","Litus","cynipseus","","MY","Litus","cynipseus","","MY"
"Lymaenon","","","MY","Lymaenon","","","MY","Lymaenon","","","MY","Lymaenon","","","MY"
"Lymaenon","kazak","","MY","Lymaenon","kazak","","MY","Lymaenon","kazak","","MY","Lymaenon","kazak","","MY"
"Lymaenon","litoralis","","MY","Lymaenon","litoralis","","MY","Lymaenon","litoralis","","MY","Lymaenon","litoralis","","MY"
"Lymaenon","mitjaevi","","MY","Lymaenon","mitjaevi","","MY","Lymaenon","mitjaevi","","MY","Lymaenon","mitjaevi","","MY"
"Lymaenon","vidanoi","","MY","Lymaenon","vidanoi","","MY","Lymaenon","vidanoi","","MY","Lymaenon","vidanoi","","MY"
"Macrorileya","","","JE","Macrorileya","","","JE","Macrorileya","","","JE","Macrorileya","","","JE"
"Macrorileya","inopinata","","JE","Macrorileya","inopinata","","JE","Macrorileya","inopinata","","JE","Macrorileya","inopinata","","JE"
"Macrorileya","oecanthi","","JE","Macrorileya","oecanthi","","JE","Macrorileya","oecanthi","","JE","Macrorileya","oecanthi","","JE"
"Manineura","pentatomivora","","PQ","Manineura","pentatomivora","","PQ","Manineura","pentatomivora","","PQ","Manineura","pentatomivora","","PQ"
"Mantiphaga","apperti","","VPO","Mantiphaga","apperti","","VPO","Mantiphaga","apperti","","VPO","Mantiphaga","apperti","","VPO"
"Mantiphaga","gongylusae","","VPO","Mantiphaga","gongylusae","","VPO","Mantiphaga","gongylusae","","VPO","Mantiphaga","gongylusae","","VPO"
"Mantiphaga","pseudocreobotrae","","VPO","Mantiphaga","pseudocreobotrae","","VPO","Mantiphaga","pseudocreobotrae","","VPO","Mantiphaga","pseudocreobotrae","","VPO"
"Marietta","leopardina","","BA","Marietta","leopardina","","BA","Marietta","leopardina","","BA","Marietta","leopardina","","BA"
"Megaphragma","","","WOO","Megaphragma","","","WOO","Megaphragma","","","WOO","Megaphragma","","","WOO"
"Megaphragma","amalphitanum","","WOO","Megaphragma","amalphitanum","","WOO","Megaphragma","amalphitanum","","WOO","Megaphragma","amalphitanum","","WOO"
"Megaphragma","caribea","","WOO","Megaphragma","caribea","","WOO","Megaphragma","caribea","","WOO","Megaphragma","caribea","","WOO"
"Megaphragma","longiciliatum","","WOO","Megaphragma","longiciliatum","","WOO","Megaphragma","longiciliatum","","WOO","Megaphragma","longiciliatum","","WOO"
"Megaphragma","mymaripenne","","WOO","Megaphragma","mymaripenne","","WOO","Megaphragma","mymaripenne","","WOO","Megaphragma","mymaripenne","","WOO"
"Meromyzobia","","","EE","Meromyzobia","","","EE","Meromyzobia","","","EE","Meromyzobia","","","EE"
"Meromyzobia","pedicelata","","EE","Meromyzobia","pedicelata","","EE","Meromyzobia","pedicelata","","EE","Meromyzobia","pedicelata","","EE"
"Mesocomys","aegeriae","","IE","Mesocomys","aegeriae","","IE","Mesocomys","aegeriae","","IE","Mesocomys","aegeriae","","IE"
"Mesocomys","albitarsis","","IE","Mesocomys","albitarsis","","IE","Mesocomys","albitarsis","","IE","Mesocomys","albitarsis","","IE"
"Mesocomys","breviscapis","","IE","Mesocomys","breviscapis","","IE","Mesocomys","breviscapis","","IE","Mesocomys","breviscapis","","IE"
"Mesocomys","kalinai","","IE","Mesocomys","kalinai","","IE","Mesocomys","kalinai","","IE","Mesocomys","kalinai","","IE"
"Mesocomys","orientalis","","IE","Mesocomys","orientalis","","IE","Mesocomys","orientalis","","IE","Mesocomys","orientalis","","IE"
"Mesocomys","pauliani","","IE","Mesocomys","pauliani","","IE","Mesocomys","pauliani","","IE","Mesocomys","pauliani","","IE"
"Mesocomys","pulchriceps","","IE","Mesocomys","pulchriceps","","IE","Mesocomys","pulchriceps","","IE","Mesocomys","pulchriceps","","IE"
"Mesocomys","sinensis","","IE","Mesocomys","sinensis","","IE","Mesocomys","sinensis","","IE","Mesocomys","sinensis","","IE"
"Mesocomys","superansi","","IE","Mesocomys","superansi","","IE","Mesocomys","superansi","","IE","Mesocomys","superansi","","IE"
"Mesocomys","trabalae","","IE","Mesocomys","trabalae","","IE","Mesocomys","trabalae","","IE","Mesocomys","trabalae","","IE"
"Mesopolobus","","","PZD","Mesopolobus","","","PZD","Mesopolobus","","","PZD","Mesopolobus","","","PZD"
"Mesopolobus","aequus","","PZD","Mesopolobus","aequus","","PZD","Mesopolobus","aequus","","PZD","Mesopolobus","aequus","","PZD"
"Mesopolobus","graminum","","PZD","Mesopolobus","graminum","","PZD","Mesopolobus","graminum","","PZD","Mesopolobus","graminum","","PZD"
"Mesopolobus","subfumatus","","PZD","Mesopolobus","subfumatus","","PZD","Mesopolobus","subfumatus","","PZD","Mesopolobus","subfumatus","","PZD"
"Mesopolobus","superansi","","PZD","Mesopolobus","superansi","","PZD","Mesopolobus","superansi","","PZD","Mesopolobus","superansi","","PZD"
"Mestocharella","deltoids","","HT","Mestocharella","deltoids","","HT","Mestocharella","deltoids","","HT","Mestocharella","deltoids","","HT"
"Mestocharella","indica","","HT","Mestocharella","indica","","HT","Mestocharella","indica","","HT","Mestocharella","indica","","HT"
"Mestocharis","","","HN","Mestocharis","","","HN","Mestocharis","","","HN","Mestocharis","","","HN"
"Mestocharis","bimacularis","","HN","Mestocharis","bimacularis","","HN","Mestocharis","bimacularis","","HN","Mestocharis","bimacularis","","HN"
"Metaphycus","","","EE","Metaphycus","","","EE","Metaphycus","","","EE","Metaphycus","","","EE"
"Microdontomerus","","","VE","Microdontomerus","","","VE","Microdontomerus","","","VE","Microdontomerus","","","VE"
"Microdontomerus","hemileucae","","VE","Microdontomerus","hemileucae","","VE","Microdontomerus","hemileucae","","VE","Microdontomerus","hemileucae","","VE"
"Microdontomerus","iridis","","VE","Microdontomerus","iridis","","VE","Microdontomerus","iridis","","VE","Microdontomerus","iridis","","VE"
"Microdontomerus","ovivorus","","VE","Microdontomerus","ovivorus","","VE","Microdontomerus","ovivorus","","VE","Microdontomerus","ovivorus","","VE"
"Microdontomerus","senegalensis","","VE","Microdontomerus","senegalensis","","VE","Microdontomerus","senegalensis","","VE","Microdontomerus","senegalensis","","VE"
"Microdontomerus","senegalensis","!","VE","Microdontomerus","senegalensis","!","VE","Microdontomerus","senegalensis","!","VE","Microdontomerus","senegalensis","!","VE"
"Micropodagrion","pauliani","","VPO","Micropodagrion","pauliani","","VPO","Micropodagrion","pauliani","","VPO","Micropodagrion","pauliani","","VPO"
"Microterys","lunatus","","EE","Microterys","lunatus","","EE","Microterys","lunatus","","EE","Microterys","lunatus","","EE"
"Minotetrastichus","frontalis","","HT","Minotetrastichus","frontalis","","HT","Minotetrastichus","frontalis","","HT","Minotetrastichus","frontalis","","HT"
"Minotetrastichus","platanellus","","HT","Minotetrastichus","platanellus","","HT","Minotetrastichus","platanellus","","HT","Minotetrastichus","platanellus","","HT"
"Mirufens","","","WTT","Mirufens","","","WTT","Mirufens","","","WTT","Mirufens","","","WTT"
"Mirufens","afrangiata","","WTT","Mirufens","afrangiata","","WTT","Mirufens","afrangiata","","WTT","Mirufens","afrangiata","","WTT"
"Mirufens","brevifuniculata","","WTT","Mirufens","brevifuniculata","","WTT","Mirufens","brevifuniculata","","WTT","Mirufens","brevifuniculata","","WTT"
"Mirufens","ceylonensis","","WTT","Mirufens","ceylonensis","","WTT","Mirufens","ceylonensis","","WTT","Mirufens","ceylonensis","","WTT"
"Mirufens","longifuniculata","","WTT","Mirufens","longifuniculata","","WTT","Mirufens","longifuniculata","","WTT","Mirufens","longifuniculata","","WTT"
"Mirufens","mangiferae","","WTT","Mirufens","mangiferae","","WTT","Mirufens","mangiferae","","WTT","Mirufens","mangiferae","","WTT"
"Mirufens","shenyangensis","","WTT","Mirufens","shenyangensis","","WTT","Mirufens","shenyangensis","","WTT","Mirufens","shenyangensis","","WTT"
"Monodontomerus","obscurus","","VO","Monodontomerus","obscurus","","VO","Monodontomerus","obscurus","","VO","Monodontomerus","obscurus","","VO"
"Monorthochaeta","nigra","","WOC","Monorthochaeta","nigra","","WOC","Monorthochaeta","nigra","","WOC","Monorthochaeta","nigra","","WOC"
"Myartsevaia","chrysopae","","EE","Myartsevaia","chrysopae","","EE","Myartsevaia","chrysopae","","EE","Myartsevaia","chrysopae","","EE"
"Mymar","","","MY","Mymar","","","MY","Mymar","","","MY","Mymar","","","MY"
"Mymar","crinisacri","!","MY","Mymar","crinisacri","!","MY","Mymar","crinisacri","!","MY","Mymar","crinisacri","!","MY"
"Mymar","taprobanicum","","MY","Mymar","taprobanicum","","MY","Mymar","taprobanicum","","MY","Mymar","taprobanicum","","MY"
"Myrmicolelaps","","","PL","Myrmicolelaps","","","PL","Myrmicolelaps","","","PL","Myrmicolelaps","","","PL"
"Nasonia","vitripennis","","PZD","Nasonia","vitripennis","","PZD","Nasonia","vitripennis","","PZD","Nasonia","vitripennis","","PZD"
"Neobrachista","novifasciata","","WTT","Neobrachista","novifasciata","","WTT","Neobrachista","novifasciata","","WTT","Neobrachista","novifasciata","","WTT"
"Neocatolaccus","subviridis","","PZD","Neocatolaccus","subviridis","","PZD","Neocatolaccus","subviridis","","PZD","Neocatolaccus","subviridis","","PZD"
"Neochrysocharis","","","HN","Neochrysocharis","","","HN","Neochrysocharis","","","HN","Neochrysocharis","","","HN"
"Neochrysocharis","diastatae","","HN","Neochrysocharis","diastatae","","HN","Neochrysocharis","diastatae","","HN","Neochrysocharis","diastatae","","HN"
"Neochrysocharis","formosus","","HN","Neochrysocharis","formosus","","HN","Neochrysocharis","formosus","","HN","Neochrysocharis","formosus","","HN"
"Neopolycystus","","","PZD","Neopolycystus","","","PZD","Neopolycystus","","","PZD","Neopolycystus","","","PZD"
"Neopolycystus","insectifurax","","PZD","Neopolycystus","insectifurax","","PZD","Neopolycystus","insectifurax","","PZD","Neopolycystus","insectifurax","","PZD"
"Neorileya","","","JR","Neorileya","","","JR","Neorileya","","","JR","Neorileya","","","JR"
"Neorileya","albipes","","JR","Neorileya","albipes","","JR","Neorileya","albipes","","JR","Neorileya","albipes","","JR"
